DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2004,6.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2006,6.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2008,6.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2010,7.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2012,9.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2014,13,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2015,15.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2017,13.8,b
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2018,15.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2019,16.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CH,2020,17.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2004,14.7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2005,14.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2006,13.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2007,14.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2008,12.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2009,12.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2010,11.8,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2011,11.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2012,10.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2013,8.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2014,7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2015,7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2016,6.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2017,6.7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2018,6.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2019,7.1,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CY,2020,8,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2004,2.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2005,2.8,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2006,3.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2007,3.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2008,4.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2009,4.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2010,4.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2011,4.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2012,3.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2013,3.7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2014,3.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2015,4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2016,3.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2017,4.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2018,4.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2019,5.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,CZ,2020,5.5,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,DE,2004,4,d
