DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2001,63121,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2002,49581,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2003,54158,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2004,44192,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2005,48722,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2006,48569,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2007,52006,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2008,47897,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2009,38355,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2010,49938,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2011,37407,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2012,34616,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2013,45834,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT12,2014,43605,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2001,4037,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2002,3273,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2003,3856,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2004,2677,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2005,3457,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2006,3719,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2007,4612,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2008,1637,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2009,2964,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,AT21,2010,2963,
