"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","2001","Sewerage, waste management and remediation activities (37 to 39)","Consumption of Fixed Capital","Euro Million","55"
"Gross Value Added (GVA) at Current Market Prices","2001","Sewerage, waste management and remediation activities (37 to 39)","Other Taxes less Other Subsidies on Production","Euro Million","87"
"Gross Value Added (GVA) at Current Market Prices","2001","Sewerage, waste management and remediation activities (37 to 39)","Gross Value Added (GVA) at Basic Prices","Euro Million","524"
"Gross Value Added (GVA) at Current Market Prices","2001","Construction (41 to 43)","Compensation of Employees","Euro Million","5035"
"Gross Value Added (GVA) at Current Market Prices","2001","Construction (41 to 43)","Net Operating Surplus and Net Mixed Income","Euro Million","2654"
"Gross Value Added (GVA) at Current Market Prices","2001","Construction (41 to 43)","Consumption of Fixed Capital","Euro Million","379"
"Gross Value Added (GVA) at Current Market Prices","2001","Construction (41 to 43)","Other Taxes less Other Subsidies on Production","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","2001","Construction (41 to 43)","Gross Value Added (GVA) at Basic Prices","Euro Million","8081"
"Gross Value Added (GVA) at Current Market Prices","2001","Motor trades (45)","Compensation of Employees","Euro Million","604"
"Gross Value Added (GVA) at Current Market Prices","2001","Motor trades (45)","Net Operating Surplus and Net Mixed Income","Euro Million","383"
"Gross Value Added (GVA) at Current Market Prices","2001","Motor trades (45)","Consumption of Fixed Capital","Euro Million","211"
"Gross Value Added (GVA) at Current Market Prices","2001","Motor trades (45)","Other Taxes less Other Subsidies on Production","Euro Million","9"
"Gross Value Added (GVA) at Current Market Prices","2001","Motor trades (45)","Gross Value Added (GVA) at Basic Prices","Euro Million","1208"
"Gross Value Added (GVA) at Current Market Prices","2001","Wholesale trade (46)","Compensation of Employees","Euro Million","1461"
"Gross Value Added (GVA) at Current Market Prices","2001","Wholesale trade (46)","Net Operating Surplus and Net Mixed Income","Euro Million","2102"
"Gross Value Added (GVA) at Current Market Prices","2001","Wholesale trade (46)","Consumption of Fixed Capital","Euro Million","258"
"Gross Value Added (GVA) at Current Market Prices","2001","Wholesale trade (46)","Other Taxes less Other Subsidies on Production","Euro Million","30"
"Gross Value Added (GVA) at Current Market Prices","2001","Wholesale trade (46)","Gross Value Added (GVA) at Basic Prices","Euro Million","3851"
"Gross Value Added (GVA) at Current Market Prices","2001","Retail trade (47)","Compensation of Employees","Euro Million","2678"
"Gross Value Added (GVA) at Current Market Prices","2001","Retail trade (47)","Net Operating Surplus and Net Mixed Income","Euro Million","1743"
"Gross Value Added (GVA) at Current Market Prices","2001","Retail trade (47)","Consumption of Fixed Capital","Euro Million","351"
"Gross Value Added (GVA) at Current Market Prices","2001","Retail trade (47)","Other Taxes less Other Subsidies on Production","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","2001","Retail trade (47)","Gross Value Added (GVA) at Basic Prices","Euro Million","4808"
"Gross Value Added (GVA) at Current Market Prices","2001","Land transport (49)","Compensation of Employees","Euro Million","961"
"Gross Value Added (GVA) at Current Market Prices","2001","Land transport (49)","Net Operating Surplus and Net Mixed Income","Euro Million","463"
"Gross Value Added (GVA) at Current Market Prices","2001","Land transport (49)","Consumption of Fixed Capital","Euro Million","177"
"Gross Value Added (GVA) at Current Market Prices","2001","Land transport (49)","Other Taxes less Other Subsidies on Production","Euro Million","55"
"Gross Value Added (GVA) at Current Market Prices","2001","Land transport (49)","Gross Value Added (GVA) at Basic Prices","Euro Million","1655"
"Gross Value Added (GVA) at Current Market Prices","2001","Water transport (50)","Compensation of Employees","Euro Million","117"
"Gross Value Added (GVA) at Current Market Prices","2001","Water transport (50)","Net Operating Surplus and Net Mixed Income","Euro Million","-33"
"Gross Value Added (GVA) at Current Market Prices","2001","Water transport (50)","Consumption of Fixed Capital","Euro Million","73"
"Gross Value Added (GVA) at Current Market Prices","2001","Water transport (50)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2001","Water transport (50)","Gross Value Added (GVA) at Basic Prices","Euro Million","162"
"Gross Value Added (GVA) at Current Market Prices","2001","Air transport, Warehousing and support activities for transportation (51-52)","Compensation of Employees","Euro Million","815"
"Gross Value Added (GVA) at Current Market Prices","2001","Air transport, Warehousing and support activities for transportation (51-52)","Net Operating Surplus and Net Mixed Income","Euro Million","-14"
"Gross Value Added (GVA) at Current Market Prices","2001","Air transport, Warehousing and support activities for transportation (51-52)","Consumption of Fixed Capital","Euro Million","499"
"Gross Value Added (GVA) at Current Market Prices","2001","Air transport, Warehousing and support activities for transportation (51-52)","Other Taxes less Other Subsidies on Production","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","2001","Air transport, Warehousing and support activities for transportation (51-52)","Gross Value Added (GVA) at Basic Prices","Euro Million","1319"
"Gross Value Added (GVA) at Current Market Prices","2001","Postal and courier activities (53)","Compensation of Employees","Euro Million","674"
"Gross Value Added (GVA) at Current Market Prices","2001","Postal and courier activities (53)","Net Operating Surplus and Net Mixed Income","Euro Million","15"
"Gross Value Added (GVA) at Current Market Prices","2001","Postal and courier activities (53)","Consumption of Fixed Capital","Euro Million","64"
"Gross Value Added (GVA) at Current Market Prices","2001","Postal and courier activities (53)","Other Taxes less Other Subsidies on Production","Euro Million","26"
"Gross Value Added (GVA) at Current Market Prices","2001","Postal and courier activities (53)","Gross Value Added (GVA) at Basic Prices","Euro Million","778"
"Gross Value Added (GVA) at Current Market Prices","2001","Accommodation and food service activities (55,56)","Compensation of Employees","Euro Million","1617"
"Gross Value Added (GVA) at Current Market Prices","2001","Accommodation and food service activities (55,56)","Net Operating Surplus and Net Mixed Income","Euro Million","657"
"Gross Value Added (GVA) at Current Market Prices","2001","Accommodation and food service activities (55,56)","Consumption of Fixed Capital","Euro Million","470"
"Gross Value Added (GVA) at Current Market Prices","2001","Accommodation and food service activities (55,56)","Other Taxes less Other Subsidies on Production","Euro Million","52"
"Gross Value Added (GVA) at Current Market Prices","2001","Accommodation and food service activities (55,56)","Gross Value Added (GVA) at Basic Prices","Euro Million","2795"
"Gross Value Added (GVA) at Current Market Prices","2001","Publishing, audiovisual and broadcasting services (58 to 60)","Compensation of Employees","Euro Million","392"
"Gross Value Added (GVA) at Current Market Prices","2001","Publishing, audiovisual and broadcasting services (58 to 60)","Net Operating Surplus and Net Mixed Income","Euro Million","2481"
"Gross Value Added (GVA) at Current Market Prices","2001","Publishing, audiovisual and broadcasting services (58 to 60)","Consumption of Fixed Capital","Euro Million","368"
"Gross Value Added (GVA) at Current Market Prices","2001","Publishing, audiovisual and broadcasting services (58 to 60)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","2001","Publishing, audiovisual and broadcasting services (58 to 60)","Gross Value Added (GVA) at Basic Prices","Euro Million","3243"
"Gross Value Added (GVA) at Current Market Prices","2001","Telecommunications (61)","Compensation of Employees","Euro Million","823"
"Gross Value Added (GVA) at Current Market Prices","2001","Telecommunications (61)","Net Operating Surplus and Net Mixed Income","Euro Million","690"
"Gross Value Added (GVA) at Current Market Prices","2001","Telecommunications (61)","Consumption of Fixed Capital","Euro Million","267"
"Gross Value Added (GVA) at Current Market Prices","2001","Telecommunications (61)","Other Taxes less Other Subsidies on Production","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","2001","Telecommunications (61)","Gross Value Added (GVA) at Basic Prices","Euro Million","1798"
"Gross Value Added (GVA) at Current Market Prices","2001","Computer programming, consultancy and Information service activities (62,63)","Compensation of Employees","Euro Million","1688"
"Gross Value Added (GVA) at Current Market Prices","2001","Computer programming, consultancy and Information service activities (62,63)","Net Operating Surplus and Net Mixed Income","Euro Million","789"
"Gross Value Added (GVA) at Current Market Prices","2001","Computer programming, consultancy and Information service activities (62,63)","Consumption of Fixed Capital","Euro Million","290"
"Gross Value Added (GVA) at Current Market Prices","2001","Computer programming, consultancy and Information service activities (62,63)","Other Taxes less Other Subsidies on Production","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","2001","Computer programming, consultancy and Information service activities (62,63)","Gross Value Added (GVA) at Basic Prices","Euro Million","2804"
"Gross Value Added (GVA) at Current Market Prices","2001","Financial service activities, except insurance and pension funding (64)","Compensation of Employees","Euro Million","2055"
"Gross Value Added (GVA) at Current Market Prices","2001","Financial service activities, except insurance and pension funding (64)","Net Operating Surplus and Net Mixed Income","Euro Million","3220"
"Gross Value Added (GVA) at Current Market Prices","2001","Financial service activities, except insurance and pension funding (64)","Consumption of Fixed Capital","Euro Million","292"
"Gross Value Added (GVA) at Current Market Prices","2001","Financial service activities, except insurance and pension funding (64)","Other Taxes less Other Subsidies on Production","Euro Million","69"
"Gross Value Added (GVA) at Current Market Prices","2001","Financial service activities, except insurance and pension funding (64)","Gross Value Added (GVA) at Basic Prices","Euro Million","5637"
"Gross Value Added (GVA) at Current Market Prices","2001","Insurance, reinsurance and pension funding, except compulsory social security (65)","Compensation of Employees","Euro Million","807"
"Gross Value Added (GVA) at Current Market Prices","2001","Insurance, reinsurance and pension funding, except compulsory social security (65)","Net Operating Surplus and Net Mixed Income","Euro Million","638"
"Gross Value Added (GVA) at Current Market Prices","2001","Insurance, reinsurance and pension funding, except compulsory social security (65)","Consumption of Fixed Capital","Euro Million","149"
"Gross Value Added (GVA) at Current Market Prices","2001","Insurance, reinsurance and pension funding, except compulsory social security (65)","Other Taxes less Other Subsidies on Production","Euro Million","20"
"Gross Value Added (GVA) at Current Market Prices","2001","Insurance, reinsurance and pension funding, except compulsory social security (65)","Gross Value Added (GVA) at Basic Prices","Euro Million","1613"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities auxiliary to financial services and insurance activities (66)","Compensation of Employees","Euro Million","101"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities auxiliary to financial services and insurance activities (66)","Net Operating Surplus and Net Mixed Income","Euro Million","640"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities auxiliary to financial services and insurance activities (66)","Consumption of Fixed Capital","Euro Million","149"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities auxiliary to financial services and insurance activities (66)","Other Taxes less Other Subsidies on Production","Euro Million","11"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities auxiliary to financial services and insurance activities (66)","Gross Value Added (GVA) at Basic Prices","Euro Million","901"
"Gross Value Added (GVA) at Current Market Prices","2001","Real estate activities (68)","Compensation of Employees","Euro Million","150"
"Gross Value Added (GVA) at Current Market Prices","2001","Real estate activities (68)","Net Operating Surplus and Net Mixed Income","Euro Million","4957"
"Gross Value Added (GVA) at Current Market Prices","2001","Real estate activities (68)","Consumption of Fixed Capital","Euro Million","2907"
"Gross Value Added (GVA) at Current Market Prices","2001","Real estate activities (68)","Other Taxes less Other Subsidies on Production","Euro Million","32"
"Gross Value Added (GVA) at Current Market Prices","2001","Real estate activities (68)","Gross Value Added (GVA) at Basic Prices","Euro Million","8046"
"Gross Value Added (GVA) at Current Market Prices","2001","Legal and accounting activities; head offices and management consultancy activities (69,70)","Compensation of Employees","Euro Million","1075"
"Gross Value Added (GVA) at Current Market Prices","2001","Legal and accounting activities; head offices and management consultancy activities (69,70)","Net Operating Surplus and Net Mixed Income","Euro Million","743"
"Gross Value Added (GVA) at Current Market Prices","2001","Legal and accounting activities; head offices and management consultancy activities (69,70)","Consumption of Fixed Capital","Euro Million","67"
"Gross Value Added (GVA) at Current Market Prices","2001","Legal and accounting activities; head offices and management consultancy activities (69,70)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2001","Legal and accounting activities; head offices and management consultancy activities (69,70)","Gross Value Added (GVA) at Basic Prices","Euro Million","1890"
"Gross Value Added (GVA) at Current Market Prices","2001","Architectural and engineering activities; technical testing and analysis (71)","Compensation of Employees","Euro Million","619"
"Gross Value Added (GVA) at Current Market Prices","2001","Architectural and engineering activities; technical testing and analysis (71)","Net Operating Surplus and Net Mixed Income","Euro Million","266"
"Gross Value Added (GVA) at Current Market Prices","2001","Architectural and engineering activities; technical testing and analysis (71)","Consumption of Fixed Capital","Euro Million","65"
"Gross Value Added (GVA) at Current Market Prices","2001","Architectural and engineering activities; technical testing and analysis (71)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","2001","Architectural and engineering activities; technical testing and analysis (71)","Gross Value Added (GVA) at Basic Prices","Euro Million","953"
"Gross Value Added (GVA) at Current Market Prices","2001","Scientific research and development (72)","Compensation of Employees","Euro Million","90"
"Gross Value Added (GVA) at Current Market Prices","2001","Scientific research and development (72)","Net Operating Surplus and Net Mixed Income","Euro Million","-53"
"Gross Value Added (GVA) at Current Market Prices","2001","Scientific research and development (72)","Consumption of Fixed Capital","Euro Million","69"
"Gross Value Added (GVA) at Current Market Prices","2001","Scientific research and development (72)","Other Taxes less Other Subsidies on Production","Euro Million","-11"
"Gross Value Added (GVA) at Current Market Prices","2001","Scientific research and development (72)","Gross Value Added (GVA) at Basic Prices","Euro Million","95"
"Gross Value Added (GVA) at Current Market Prices","2001","Advertising and market research (73)","Compensation of Employees","Euro Million","160"
"Gross Value Added (GVA) at Current Market Prices","2001","Advertising and market research (73)","Net Operating Surplus and Net Mixed Income","Euro Million","-4"
"Gross Value Added (GVA) at Current Market Prices","2001","Advertising and market research (73)","Consumption of Fixed Capital","Euro Million","63"
"Gross Value Added (GVA) at Current Market Prices","2001","Advertising and market research (73)","Other Taxes less Other Subsidies on Production","Euro Million","-8"
"Gross Value Added (GVA) at Current Market Prices","2001","Advertising and market research (73)","Gross Value Added (GVA) at Basic Prices","Euro Million","211"
"Gross Value Added (GVA) at Current Market Prices","2001","Other professional, scientific, technical and veterinary activities (74 to 75)","Compensation of Employees","Euro Million","574"
"Gross Value Added (GVA) at Current Market Prices","2001","Other professional, scientific, technical and veterinary activities (74 to 75)","Net Operating Surplus and Net Mixed Income","Euro Million","311"
"Gross Value Added (GVA) at Current Market Prices","2001","Other professional, scientific, technical and veterinary activities (74 to 75)","Consumption of Fixed Capital","Euro Million","63"
"Gross Value Added (GVA) at Current Market Prices","2001","Other professional, scientific, technical and veterinary activities (74 to 75)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","2001","Other professional, scientific, technical and veterinary activities (74 to 75)","Gross Value Added (GVA) at Basic Prices","Euro Million","955"
"Gross Value Added (GVA) at Current Market Prices","2001","Renting and leasing activities (77)","Compensation of Employees","Euro Million","99"
"Gross Value Added (GVA) at Current Market Prices","2001","Renting and leasing activities (77)","Net Operating Surplus and Net Mixed Income","Euro Million","1063"
"Gross Value Added (GVA) at Current Market Prices","2001","Renting and leasing activities (77)","Consumption of Fixed Capital","Euro Million","226"
"Gross Value Added (GVA) at Current Market Prices","2001","Renting and leasing activities (77)","Other Taxes less Other Subsidies on Production","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","2001","Renting and leasing activities (77)","Gross Value Added (GVA) at Basic Prices","Euro Million","1395"
"Gross Value Added (GVA) at Current Market Prices","2001","Employment activities (78)","Compensation of Employees","Euro Million","175"
"Gross Value Added (GVA) at Current Market Prices","2001","Employment activities (78)","Net Operating Surplus and Net Mixed Income","Euro Million","-42"
"Gross Value Added (GVA) at Current Market Prices","2001","Employment activities (78)","Consumption of Fixed Capital","Euro Million","84"
"Gross Value Added (GVA) at Current Market Prices","2001","Employment activities (78)","Other Taxes less Other Subsidies on Production","Euro Million","-49"
"Gross Value Added (GVA) at Current Market Prices","2001","Employment activities (78)","Gross Value Added (GVA) at Basic Prices","Euro Million","168"
"Gross Value Added (GVA) at Current Market Prices","2001","Travel agency, tour operator and other reservation service and related activities (79)","Compensation of Employees","Euro Million","180"
"Gross Value Added (GVA) at Current Market Prices","2001","Travel agency, tour operator and other reservation service and related activities (79)","Net Operating Surplus and Net Mixed Income","Euro Million","-24"
"Gross Value Added (GVA) at Current Market Prices","2001","Travel agency, tour operator and other reservation service and related activities (79)","Consumption of Fixed Capital","Euro Million","90"
"Gross Value Added (GVA) at Current Market Prices","2001","Travel agency, tour operator and other reservation service and related activities (79)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2001","Travel agency, tour operator and other reservation service and related activities (79)","Gross Value Added (GVA) at Basic Prices","Euro Million","247"
"Gross Value Added (GVA) at Current Market Prices","2001","Administrative and support service activities (80 to 82)","Compensation of Employees","Euro Million","687"
"Gross Value Added (GVA) at Current Market Prices","2001","Administrative and support service activities (80 to 82)","Net Operating Surplus and Net Mixed Income","Euro Million","146"
"Gross Value Added (GVA) at Current Market Prices","2001","Administrative and support service activities (80 to 82)","Consumption of Fixed Capital","Euro Million","172"
"Gross Value Added (GVA) at Current Market Prices","2001","Administrative and support service activities (80 to 82)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2001","Administrative and support service activities (80 to 82)","Gross Value Added (GVA) at Basic Prices","Euro Million","1009"
"Gross Value Added (GVA) at Current Market Prices","2001","Public administration and defence; compulsory social security (84)","Compensation of Employees","Euro Million","3478"
"Gross Value Added (GVA) at Current Market Prices","2001","Public administration and defence; compulsory social security (84)","Net Operating Surplus and Net Mixed Income","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2001","Public administration and defence; compulsory social security (84)","Consumption of Fixed Capital","Euro Million","823"
"Gross Value Added (GVA) at Current Market Prices","2001","Public administration and defence; compulsory social security (84)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2001","Public administration and defence; compulsory social security (84)","Gross Value Added (GVA) at Basic Prices","Euro Million","4305"
"Gross Value Added (GVA) at Current Market Prices","2001","Education (85)","Compensation of Employees","Euro Million","3752"
"Gross Value Added (GVA) at Current Market Prices","2001","Education (85)","Net Operating Surplus and Net Mixed Income","Euro Million","225"
"Gross Value Added (GVA) at Current Market Prices","2001","Education (85)","Consumption of Fixed Capital","Euro Million","473"
"Gross Value Added (GVA) at Current Market Prices","2001","Education (85)","Other Taxes less Other Subsidies on Production","Euro Million","-11"
"Gross Value Added (GVA) at Current Market Prices","2001","Education (85)","Gross Value Added (GVA) at Basic Prices","Euro Million","4438"
"Gross Value Added (GVA) at Current Market Prices","2001","Human health activities(86)","Compensation of Employees","Euro Million","4486"
"Gross Value Added (GVA) at Current Market Prices","2001","Human health activities(86)","Net Operating Surplus and Net Mixed Income","Euro Million","532"
"Gross Value Added (GVA) at Current Market Prices","2001","Human health activities(86)","Consumption of Fixed Capital","Euro Million","309"
"Gross Value Added (GVA) at Current Market Prices","2001","Human health activities(86)","Other Taxes less Other Subsidies on Production","Euro Million","8"
"Gross Value Added (GVA) at Current Market Prices","2001","Human health activities(86)","Gross Value Added (GVA) at Basic Prices","Euro Million","5335"
"Gross Value Added (GVA) at Current Market Prices","2001","Social work activities (87-88)","Compensation of Employees","Euro Million","487"
"Gross Value Added (GVA) at Current Market Prices","2001","Social work activities (87-88)","Net Operating Surplus and Net Mixed Income","Euro Million","282"
"Gross Value Added (GVA) at Current Market Prices","2001","Social work activities (87-88)","Consumption of Fixed Capital","Euro Million","12"
"Gross Value Added (GVA) at Current Market Prices","2001","Social work activities (87-88)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2001","Social work activities (87-88)","Gross Value Added (GVA) at Basic Prices","Euro Million","782"
"Gross Value Added (GVA) at Current Market Prices","2001","Arts, entertainment and recreation (90 to 92)","Compensation of Employees","Euro Million","308"
"Gross Value Added (GVA) at Current Market Prices","2001","Arts, entertainment and recreation (90 to 92)","Net Operating Surplus and Net Mixed Income","Euro Million","627"
"Gross Value Added (GVA) at Current Market Prices","2001","Arts, entertainment and recreation (90 to 92)","Consumption of Fixed Capital","Euro Million","170"
"Gross Value Added (GVA) at Current Market Prices","2001","Arts, entertainment and recreation (90 to 92)","Other Taxes less Other Subsidies on Production","Euro Million","-2"
"Gross Value Added (GVA) at Current Market Prices","2001","Arts, entertainment and recreation (90 to 92)","Gross Value Added (GVA) at Basic Prices","Euro Million","1103"
"Gross Value Added (GVA) at Current Market Prices","2001","Sports activities and amusement and recreation activities (93)","Compensation of Employees","Euro Million","241"
"Gross Value Added (GVA) at Current Market Prices","2001","Sports activities and amusement and recreation activities (93)","Net Operating Surplus and Net Mixed Income","Euro Million","139"
"Gross Value Added (GVA) at Current Market Prices","2001","Sports activities and amusement and recreation activities (93)","Consumption of Fixed Capital","Euro Million","51"
"Gross Value Added (GVA) at Current Market Prices","2001","Sports activities and amusement and recreation activities (93)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","2001","Sports activities and amusement and recreation activities (93)","Gross Value Added (GVA) at Basic Prices","Euro Million","435"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of membership organisations (94)","Compensation of Employees","Euro Million","193"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of membership organisations (94)","Net Operating Surplus and Net Mixed Income","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of membership organisations (94)","Consumption of Fixed Capital","Euro Million","26"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of membership organisations (94)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of membership organisations (94)","Gross Value Added (GVA) at Basic Prices","Euro Million","220"
"Gross Value Added (GVA) at Current Market Prices","2001","Repair of computers and personal and household goods (95)","Compensation of Employees","Euro Million","33"
"Gross Value Added (GVA) at Current Market Prices","2001","Repair of computers and personal and household goods (95)","Net Operating Surplus and Net Mixed Income","Euro Million","26"
"Gross Value Added (GVA) at Current Market Prices","2001","Repair of computers and personal and household goods (95)","Consumption of Fixed Capital","Euro Million","17"
"Gross Value Added (GVA) at Current Market Prices","2001","Repair of computers and personal and household goods (95)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2001","Repair of computers and personal and household goods (95)","Gross Value Added (GVA) at Basic Prices","Euro Million","76"
"Gross Value Added (GVA) at Current Market Prices","2001","Other personal service activities (96)","Compensation of Employees","Euro Million","230"
"Gross Value Added (GVA) at Current Market Prices","2001","Other personal service activities (96)","Net Operating Surplus and Net Mixed Income","Euro Million","185"
"Gross Value Added (GVA) at Current Market Prices","2001","Other personal service activities (96)","Consumption of Fixed Capital","Euro Million","22"
"Gross Value Added (GVA) at Current Market Prices","2001","Other personal service activities (96)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","2001","Other personal service activities (96)","Gross Value Added (GVA) at Basic Prices","Euro Million","439"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of households as employers; producing activities of households for own use (97,98)","Compensation of Employees","Euro Million","73"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of households as employers; producing activities of households for own use (97,98)","Net Operating Surplus and Net Mixed Income","Euro Million","20"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of households as employers; producing activities of households for own use (97,98)","Consumption of Fixed Capital","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of households as employers; producing activities of households for own use (97,98)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of households as employers; producing activities of households for own use (97,98)","Gross Value Added (GVA) at Basic Prices","Euro Million","92"
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of extraterritorial organisations and bodies (99)","Compensation of Employees","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of extraterritorial organisations and bodies (99)","Net Operating Surplus and Net Mixed Income","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of extraterritorial organisations and bodies (99)","Consumption of Fixed Capital","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of extraterritorial organisations and bodies (99)","Other Taxes less Other Subsidies on Production","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2001","Activities of extraterritorial organisations and bodies (99)","Gross Value Added (GVA) at Basic Prices","Euro Million",""
"Gross Value Added (GVA) at Current Market Prices","2001","NACE economic sectors (01-98)","Compensation of Employees","Euro Million","46895"
"Gross Value Added (GVA) at Current Market Prices","2001","NACE economic sectors (01-98)","Net Operating Surplus and Net Mixed Income","Euro Million","48322"
"Gross Value Added (GVA) at Current Market Prices","2001","NACE economic sectors (01-98)","Consumption of Fixed Capital","Euro Million","14035"
"Gross Value Added (GVA) at Current Market Prices","2001","NACE economic sectors (01-98)","Other Taxes less Other Subsidies on Production","Euro Million","-438"
"Gross Value Added (GVA) at Current Market Prices","2001","NACE economic sectors (01-98)","Gross Value Added (GVA) at Basic Prices","Euro Million","108814"
"Gross Value Added (GVA) at Current Market Prices","2002","Crop and animal production, hunting and related service activities (01)","Compensation of Employees","Euro Million","414"
"Gross Value Added (GVA) at Current Market Prices","2002","Crop and animal production, hunting and related service activities (01)","Net Operating Surplus and Net Mixed Income","Euro Million","2064"
"Gross Value Added (GVA) at Current Market Prices","2002","Crop and animal production, hunting and related service activities (01)","Consumption of Fixed Capital","Euro Million","710"
"Gross Value Added (GVA) at Current Market Prices","2002","Crop and animal production, hunting and related service activities (01)","Other Taxes less Other Subsidies on Production","Euro Million","-1058"
"Gross Value Added (GVA) at Current Market Prices","2002","Crop and animal production, hunting and related service activities (01)","Gross Value Added (GVA) at Basic Prices","Euro Million","2130"
"Gross Value Added (GVA) at Current Market Prices","2002","Forestry and logging (02)","Compensation of Employees","Euro Million","79"
"Gross Value Added (GVA) at Current Market Prices","2002","Forestry and logging (02)","Net Operating Surplus and Net Mixed Income","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","2002","Forestry and logging (02)","Consumption of Fixed Capital","Euro Million","37"
"Gross Value Added (GVA) at Current Market Prices","2002","Forestry and logging (02)","Other Taxes less Other Subsidies on Production","Euro Million","-92"
"Gross Value Added (GVA) at Current Market Prices","2002","Forestry and logging (02)","Gross Value Added (GVA) at Basic Prices","Euro Million","61"
"Gross Value Added (GVA) at Current Market Prices","2002","Fishing and aquaculture (03)","Compensation of Employees","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","2002","Fishing and aquaculture (03)","Net Operating Surplus and Net Mixed Income","Euro Million","130"
"Gross Value Added (GVA) at Current Market Prices","2002","Fishing and aquaculture (03)","Consumption of Fixed Capital","Euro Million","34"
"Gross Value Added (GVA) at Current Market Prices","2002","Fishing and aquaculture (03)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","2002","Fishing and aquaculture (03)","Gross Value Added (GVA) at Basic Prices","Euro Million","169"
"Gross Value Added (GVA) at Current Market Prices","2002","Mining and quarrying (05 to 09)","Compensation of Employees","Euro Million","262"
"Gross Value Added (GVA) at Current Market Prices","2002","Mining and quarrying (05 to 09)","Net Operating Surplus and Net Mixed Income","Euro Million","-50"
"Gross Value Added (GVA) at Current Market Prices","2002","Mining and quarrying (05 to 09)","Consumption of Fixed Capital","Euro Million","322"
"Gross Value Added (GVA) at Current Market Prices","2002","Mining and quarrying (05 to 09)","Other Taxes less Other Subsidies on Production","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","2002","Mining and quarrying (05 to 09)","Gross Value Added (GVA) at Basic Prices","Euro Million","553"
"Gross Value Added (GVA) at Current Market Prices","2002","Food products, beverages and tobacco (10 to 12)","Compensation of Employees","Euro Million","1729"
"Gross Value Added (GVA) at Current Market Prices","2002","Food products, beverages and tobacco (10 to 12)","Net Operating Surplus and Net Mixed Income","Euro Million","2761"
"Gross Value Added (GVA) at Current Market Prices","2002","Food products, beverages and tobacco (10 to 12)","Consumption of Fixed Capital","Euro Million","477"
