"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Printing and reproduction of recorded media (18)","Net Operating Surplus and Net Mixed Income","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","1995","Printing and reproduction of recorded media (18)","Consumption of Fixed Capital","Euro Million","24"
"Gross Value Added (GVA) at Current Market Prices","1995","Printing and reproduction of recorded media (18)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","1995","Printing and reproduction of recorded media (18)","Gross Value Added (GVA) at Basic Prices","Euro Million","230"
"Gross Value Added (GVA) at Current Market Prices","1995","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Compensation of Employees","Euro Million","1878"
"Gross Value Added (GVA) at Current Market Prices","1995","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Net Operating Surplus and Net Mixed Income","Euro Million","3991"
"Gross Value Added (GVA) at Current Market Prices","1995","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Consumption of Fixed Capital","Euro Million","688"
"Gross Value Added (GVA) at Current Market Prices","1995","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Other Taxes less Other Subsidies on Production","Euro Million","73"
"Gross Value Added (GVA) at Current Market Prices","1995","Manufacturing sectors not else where classified (19, 20, 21, 26, 28, 31-32, 33)","Gross Value Added (GVA) at Basic Prices","Euro Million","6630"
"Gross Value Added (GVA) at Current Market Prices","1995","Rubber and plastic products (22)","Compensation of Employees","Euro Million","226"
"Gross Value Added (GVA) at Current Market Prices","1995","Rubber and plastic products (22)","Net Operating Surplus and Net Mixed Income","Euro Million","76"
"Gross Value Added (GVA) at Current Market Prices","1995","Rubber and plastic products (22)","Consumption of Fixed Capital","Euro Million","47"
"Gross Value Added (GVA) at Current Market Prices","1995","Rubber and plastic products (22)","Other Taxes less Other Subsidies on Production","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","1995","Rubber and plastic products (22)","Gross Value Added (GVA) at Basic Prices","Euro Million","357"
"Gross Value Added (GVA) at Current Market Prices","1995","Other non-metallic mineral products (23)","Compensation of Employees","Euro Million","250"
"Gross Value Added (GVA) at Current Market Prices","1995","Other non-metallic mineral products (23)","Net Operating Surplus and Net Mixed Income","Euro Million","122"
"Gross Value Added (GVA) at Current Market Prices","1995","Other non-metallic mineral products (23)","Consumption of Fixed Capital","Euro Million","61"
"Gross Value Added (GVA) at Current Market Prices","1995","Other non-metallic mineral products (23)","Other Taxes less Other Subsidies on Production","Euro Million","9"
"Gross Value Added (GVA) at Current Market Prices","1995","Other non-metallic mineral products (23)","Gross Value Added (GVA) at Basic Prices","Euro Million","442"
"Gross Value Added (GVA) at Current Market Prices","1995","Basic metals (24)","Compensation of Employees","Euro Million","69"
"Gross Value Added (GVA) at Current Market Prices","1995","Basic metals (24)","Net Operating Surplus and Net Mixed Income","Euro Million","27"
"Gross Value Added (GVA) at Current Market Prices","1995","Basic metals (24)","Consumption of Fixed Capital","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","1995","Basic metals (24)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","1995","Basic metals (24)","Gross Value Added (GVA) at Basic Prices","Euro Million","118"
"Gross Value Added (GVA) at Current Market Prices","1995","Fabricated metal products, except machinery and equipment (25)","Compensation of Employees","Euro Million","216"
"Gross Value Added (GVA) at Current Market Prices","1995","Fabricated metal products, except machinery and equipment (25)","Net Operating Surplus and Net Mixed Income","Euro Million","106"
"Gross Value Added (GVA) at Current Market Prices","1995","Fabricated metal products, except machinery and equipment (25)","Consumption of Fixed Capital","Euro Million","32"
