"Statistic","Year","Type of Crop","UNIT","VALUE"
"Area under Crops","2008","Total wheat, oats and barley","000 Hectares","320.7"
"Area under Crops","2008","Total wheat","000 Hectares","110.7"
"Area under Crops","2008","Winter wheat","000 Hectares","87.5"
"Area under Crops","2008","Spring wheat","000 Hectares","23.2"
"Area under Crops","2008","Total oats","000 Hectares","22.9"
"Area under Crops","2008","Winter oats","000 Hectares","18.7"
"Area under Crops","2008","Spring oats","000 Hectares","4.2"
"Area under Crops","2008","Total barley","000 Hectares","187.2"
"Area under Crops","2008","Winter barley","000 Hectares","21.1"
"Area under Crops","2008","Spring barley","000 Hectares","166"
"Area under Crops","2008","Beans and peas","000 Hectares","2.5"
"Area under Crops","2008","Oilseed rape","000 Hectares","5.6"
"Area under Crops","2008","Potatoes","000 Hectares","11.2"
"Area under Crops","2009","Total wheat, oats and barley","000 Hectares","298.5"
"Area under Crops","2009","Total wheat","000 Hectares","84.5"
"Area under Crops","2009","Winter wheat","000 Hectares","64.3"
"Area under Crops","2009","Spring wheat","000 Hectares","20.2"
"Area under Crops","2009","Total oats","000 Hectares","20.4"
"Area under Crops","2009","Winter oats","000 Hectares","9.1"
"Area under Crops","2009","Spring oats","000 Hectares","11.3"
"Area under Crops","2009","Total barley","000 Hectares","193.6"
"Area under Crops","2009","Winter barley","000 Hectares","19.3"
"Area under Crops","2009","Spring barley","000 Hectares","174.3"
"Area under Crops","2009","Beans and peas","000 Hectares","4.2"
"Area under Crops","2009","Oilseed rape","000 Hectares","6.3"
"Area under Crops","2009","Potatoes","000 Hectares","12.2"
"Area under Crops","2010","Total wheat, oats and barley","000 Hectares","272.3"
"Area under Crops","2010","Total wheat","000 Hectares","77.8"
"Area under Crops","2010","Winter wheat","000 Hectares","59.8"
"Area under Crops","2010","Spring wheat","000 Hectares","18"
"Area under Crops","2010","Total oats","000 Hectares","19.7"
