"Statistic","Year","Type of Crop","UNIT","VALUE"
"Area under Crops","2010","Winter oats","000 Hectares","10.3"
"Area under Crops","2010","Spring oats","000 Hectares","9.4"
"Area under Crops","2010","Total barley","000 Hectares","174.8"
"Area under Crops","2010","Winter barley","000 Hectares","28.8"
"Area under Crops","2010","Spring barley","000 Hectares","146"
"Area under Crops","2010","Beans and peas","000 Hectares","4.6"
"Area under Crops","2010","Oilseed rape","000 Hectares","8"
"Area under Crops","2010","Potatoes","000 Hectares","12.2"
"Area under Crops","2011","Total wheat, oats and barley","000 Hectares","296.2"
"Area under Crops","2011","Total wheat","000 Hectares","94.2"
"Area under Crops","2011","Winter wheat","000 Hectares","77.7"
"Area under Crops","2011","Spring wheat","000 Hectares","16.4"
"Area under Crops","2011","Total oats","000 Hectares","21.4"
"Area under Crops","2011","Winter oats","000 Hectares","9"
"Area under Crops","2011","Spring oats","000 Hectares","12.4"
"Area under Crops","2011","Total barley","000 Hectares","180.6"
"Area under Crops","2011","Winter barley","000 Hectares","35.9"
"Area under Crops","2011","Spring barley","000 Hectares","144.8"
"Area under Crops","2011","Beans and peas","000 Hectares","2.9"
"Area under Crops","2011","Oilseed rape","000 Hectares","12.4"
"Area under Crops","2011","Potatoes","000 Hectares","10.4"
"Area under Crops","2012","Total wheat, oats and barley","000 Hectares","314.5"
"Area under Crops","2012","Total wheat","000 Hectares","98"
"Area under Crops","2012","Winter wheat","000 Hectares","84.6"
"Area under Crops","2012","Spring wheat","000 Hectares","13.5"
"Area under Crops","2012","Total oats","000 Hectares","23.7"
"Area under Crops","2012","Winter oats","000 Hectares","9.9"
"Area under Crops","2012","Spring oats","000 Hectares","13.8"
"Area under Crops","2012","Total barley","000 Hectares","192.8"
"Area under Crops","2012","Winter barley","000 Hectares","41"
"Area under Crops","2012","Spring barley","000 Hectares","151.8"
"Area under Crops","2012","Beans and peas","000 Hectares","4.1"
"Area under Crops","2012","Oilseed rape","000 Hectares","17.5"
"Area under Crops","2012","Potatoes","000 Hectares","9"
"Area under Crops","2013","Total wheat, oats and barley","000 Hectares","306.7"
"Area under Crops","2013","Total wheat","000 Hectares","60.6"
"Area under Crops","2013","Winter wheat","000 Hectares","45.4"
"Area under Crops","2013","Spring wheat","000 Hectares","15.2"
"Area under Crops","2013","Total oats","000 Hectares","26.7"
"Area under Crops","2013","Winter oats","000 Hectares","5.4"
"Area under Crops","2013","Spring oats","000 Hectares","21.3"
"Area under Crops","2013","Total barley","000 Hectares","219.4"
"Area under Crops","2013","Winter barley","000 Hectares","36"
"Area under Crops","2013","Spring barley","000 Hectares","183.5"
"Area under Crops","2013","Beans and peas","000 Hectares","4.5"
"Area under Crops","2013","Oilseed rape","000 Hectares","13.7"
"Area under Crops","2013","Potatoes","000 Hectares","10.7"
"Area under Crops","2014","Total wheat, oats and barley","000 Hectares","305.9"
"Area under Crops","2014","Total wheat","000 Hectares","71.6"
"Area under Crops","2014","Winter wheat","000 Hectares","65.1"
"Area under Crops","2014","Spring wheat","000 Hectares","6.5"
"Area under Crops","2014","Total oats","000 Hectares","18.6"
"Area under Crops","2014","Winter oats","000 Hectares","10.1"
"Area under Crops","2014","Spring oats","000 Hectares","8.5"
"Area under Crops","2014","Total barley","000 Hectares","215.7"
"Area under Crops","2014","Winter barley","000 Hectares","60.1"
"Area under Crops","2014","Spring barley","000 Hectares","155.6"
"Area under Crops","2014","Beans and peas","000 Hectares","3.5"
"Area under Crops","2014","Oilseed rape","000 Hectares","9.4"
"Area under Crops","2014","Potatoes","000 Hectares","9.5"
"Area under Crops","2015","Total wheat, oats and barley","000 Hectares","291.6"
"Area under Crops","2015","Total wheat","000 Hectares","65.3"
"Area under Crops","2015","Winter wheat","000 Hectares","55.3"
"Area under Crops","2015","Spring wheat","000 Hectares","10.1"
"Area under Crops","2015","Total oats","000 Hectares","23.4"
"Area under Crops","2015","Winter oats","000 Hectares","11.4"
"Area under Crops","2015","Spring oats","000 Hectares","12.1"
"Area under Crops","2015","Total barley","000 Hectares","202.8"
"Area under Crops","2015","Winter barley","000 Hectares","69.8"
"Area under Crops","2015","Spring barley","000 Hectares","133"
"Area under Crops","2015","Beans and peas","000 Hectares","10.7"
"Area under Crops","2015","Oilseed rape","000 Hectares","8.9"
"Area under Crops","2015","Potatoes","000 Hectares","8.5"
"Area under Crops","2016","Total wheat, oats and barley","000 Hectares","280.3"
"Area under Crops","2016","Total wheat","000 Hectares","67.9"
"Area under Crops","2016","Winter wheat","000 Hectares","60.4"
"Area under Crops","2016","Spring wheat","000 Hectares","7.5"
"Area under Crops","2016","Total oats","000 Hectares","23.2"
"Area under Crops","2016","Winter oats","000 Hectares","13.2"
"Area under Crops","2016","Spring oats","000 Hectares","10"
"Area under Crops","2016","Total barley","000 Hectares","189.2"
"Area under Crops","2016","Winter barley","000 Hectares","74.6"
"Area under Crops","2016","Spring barley","000 Hectares","114.6"
"Area under Crops","2016","Beans and peas","000 Hectares","12.5"
"Area under Crops","2016","Oilseed rape","000 Hectares","9.9"
"Area under Crops","2016","Potatoes","000 Hectares","9"
"Area under Crops","2017","Total wheat, oats and barley","000 Hectares","271.7"
"Area under Crops","2017","Total wheat","000 Hectares","67"
"Area under Crops","2017","Winter wheat","000 Hectares","60.3"
"Area under Crops","2017","Spring wheat","000 Hectares","6.8"
"Area under Crops","2017","Total oats","000 Hectares","24.4"
"Area under Crops","2017","Winter oats","000 Hectares","14.4"
"Area under Crops","2017","Spring oats","000 Hectares","10"
"Area under Crops","2017","Total barley","000 Hectares","180.2"
"Area under Crops","2017","Winter barley","000 Hectares","65"
"Area under Crops","2017","Spring barley","000 Hectares","115.2"
"Area under Crops","2017","Beans and peas","000 Hectares","13.7"
"Area under Crops","2017","Oilseed rape","000 Hectares","10.1"
"Area under Crops","2017","Potatoes","000 Hectares","9.2"
"Area under Crops","2018","Total wheat, oats and barley","000 Hectares","261"
"Area under Crops","2018","Total wheat","000 Hectares","58"
"Area under Crops","2018","Winter wheat","000 Hectares","54.4"
"Area under Crops","2018","Spring wheat","000 Hectares","3.6"
"Area under Crops","2018","Total oats","000 Hectares","17.8"
"Area under Crops","2018","Winter oats","000 Hectares","10.2"
"Area under Crops","2018","Spring oats","000 Hectares","7.6"
"Area under Crops","2018","Total barley","000 Hectares","185.2"
"Area under Crops","2018","Winter barley","000 Hectares","57.9"
"Area under Crops","2018","Spring barley","000 Hectares","127.4"
"Area under Crops","2018","Beans and peas","000 Hectares","8.5"
"Area under Crops","2018","Oilseed rape","000 Hectares","10.6"
"Area under Crops","2018","Potatoes","000 Hectares","8.2"
"Area under Crops","2019","Total wheat, oats and barley","000 Hectares","266.7"
"Area under Crops","2019","Total wheat","000 Hectares","63.5"
"Area under Crops","2019","Winter wheat","000 Hectares","59.7"
"Area under Crops","2019","Spring wheat","000 Hectares","3.8"
"Area under Crops","2019","Total oats","000 Hectares","23.8"
"Area under Crops","2019","Winter oats","000 Hectares","16.6"
"Area under Crops","2019","Spring oats","000 Hectares","7.2"
"Area under Crops","2019","Total barley","000 Hectares","179.4"
"Area under Crops","2019","Winter barley","000 Hectares","82.8"
"Area under Crops","2019","Spring barley","000 Hectares","96.5"
"Area under Crops","2019","Beans and peas","000 Hectares","8.1"
"Area under Crops","2019","Oilseed rape","000 Hectares","9.2"
"Area under Crops","2019","Potatoes","000 Hectares","8.7"
"Area under Crops","2020","Total wheat, oats and barley","000 Hectares","265.6"
"Area under Crops","2020","Total wheat","000 Hectares","47"
"Area under Crops","2020","Winter wheat","000 Hectares","35.4"
"Area under Crops","2020","Spring wheat","000 Hectares","11.5"
"Area under Crops","2020","Total oats","000 Hectares","25.4"
"Area under Crops","2020","Winter oats","000 Hectares","8.3"
"Area under Crops","2020","Spring oats","000 Hectares","17.2"
"Area under Crops","2020","Total barley","000 Hectares","193.2"
"Area under Crops","2020","Winter barley","000 Hectares","51.5"
"Area under Crops","2020","Spring barley","000 Hectares","141.7"
"Area under Crops","2020","Beans and peas","000 Hectares","13.7"
"Area under Crops","2020","Oilseed rape","000 Hectares","10.3"
"Area under Crops","2020","Potatoes","000 Hectares","8.9"
"Area under Crops","2021","Total wheat, oats and barley","000 Hectares","274.6"
"Area under Crops","2021","Total wheat","000 Hectares","62.3"
"Area under Crops","2021","Winter wheat","000 Hectares","56.2"
"Area under Crops","2021","Spring wheat","000 Hectares","6.1"
"Area under Crops","2021","Total oats","000 Hectares","28.4"
"Area under Crops","2021","Winter oats","000 Hectares","13.9"
"Area under Crops","2021","Spring oats","000 Hectares","14.5"
"Area under Crops","2021","Total barley","000 Hectares","183.9"
